station_name,station_full_name,station_zone,station_address
GBP,GULABPURA,NWR,"Gulabpura, Rajasthan, India"
GBPM,GARHI BERI,NCR,"Sanaura, Uttar Pradesh, India"
GBQ,GODBHAGA,ECOR,"Godbhaga Station, Odisha, India"
GBRA,GOBRA,ER,"Gobra, Chhattisgarh, India"
GBRI,GOBARWAHI,SECR,"Nagpur, Maharashtra, India"
GBX,GOVINDPUR ROAD,SER,"Jharkhand, India"
GC,GHAT KOPAR,CR,"Ghatkopar Station(W), Ghatkopar West, .."
GCAB,G CABIN,SECR,"Charoda Rd, Bhilai Steel Plant, Bhilai.."
GCH,GACHHIPURA,NWR,"Haripura, Rajasthan, India"
GCN,GOCHARAN,ER,"Gocharan, West Bengal, India"
GCT,GHAZIPUR CITY,NER,"Ghazipur City Railway Station, Ghazipu.."
GD,GONDA JN,NER,"Gonda Junction Railway Station, Gonda,.."
GDA,GODHRA JN,WR,"Godhra, Gujarat, India"
GDB,GIDDARBAHA,NR,"Gidderbaha, Giddarbaha, Punjab, India"
GDBR,GOONDA BIHAR,SER,"Bihar, India"
GDD,GADRA ROAD,NWR,Gadra Road
GDE,GARLADINNE,SCR,"70-84 Glenvale Boulevard, Brampton, ON.."
GDG,GADAG JN,SWR,"Gadag Junction, Gadag, Karnataka, India"
GDGN,GAUDGAON,CR,"Udgaon, Maharashtra, India"
GDH,GIDNAHALI,SWR,"NH234, Karnataka 562102, India"
GDHA,GODHA,NR,"Gudha, Rajasthan, India"
GDI,GUDGERI,SWR,"Gudgeri, Karnataka, India"
GDK,GONDA KACHAHRI,NER,"Gonda, Uttar Pradesh, India"
GDKP,GHUDANKHAPA,CR,"Chhindwara, Madhya Pradesh, India"
GDL,GONDAL,WR,"Gondal Railway Station, Gondal, Gujara.."
GDM,GUDMA,SECR,"State Highway 249, Maharashtra, India"
GDN,GANGAIKONDAN,SR,"Gangaikondan, Tamil Nadu, India"
GDO,GOVERDHAN,NCR,"MDR 70, Deeg, Rajasthan, India"
GDP,GUDUPULLI,SWR,"Gudupulli Station, Andhra Pradesh, India"
GDPL,G POCHAMPALLI,SCR,"Pochampalli, Tamil Nadu, India"
GDQ,GODAMGURA,SCR,"Godamgura, Andhra Pradesh, India"
GDR,GUDUR JN,SCR,"Gudur Junction Railway Station, Gudur,.."
GDRA,GANGADHARA,SCR,"Gangadhara, Islampur, Telangana 505445.."
GDU,GUDRU HALT,SECR,"Balaghat, Madhya Pradesh, India"
GDV,GUDIVADA JN,SCR,"Gudivada Jn Railway Station, Karmikana.."
GDW,GADHWALA,NWR,"Gadhwala, Rajasthan, India"
GDX,GHOKSADANGA,NFR,"Sajerpar Railway Station, Ghoksadanga,.."
GDY,GUINDY,SR,"Guindy, Chennai, Tamil Nadu, India"
GDYA,GHORADONGRI,CR,"Ghoradongri Station, Ghoradongri, Madh.."
GDZ,GUNDARDEHI,SECR,"Durg Rajhara Road, Gundardehi, Chhatti.."
GEA,GHATERA,WCR,"Madhya Pradesh, India"
GEB,GARH BARUARI,ECR,"Garh Baruari, Bihar, India"
GEBL,GOREBAL,SWR,"Venkatagiri Camp, Karnataka, India"
GED,GULEDAGUDDA RD,SWR,"Bagalkot, Karnataka, India"
GEDE,GEDE,ER,"Gede, West Bengal"
GEG,GIR GADHARA,WR,"Gir Gadhada Station, Girgadhada, Gujar.."
GEK,GEGAL AKHRI,NWR,"Ajmer, Rajasthan, India"
GELA,GHADELA,SECR,"Chhindwara, Madhya Pradesh, India"
GEOR,GUNJARIA,NFR,"Gunjaria Railway Station, West Bengal,.."
GER,GERATPUR,WR,"Vatwa, Ahmedabad, Gujarat, India"
GFAE,GARIFA,ER,"Garifa, West Bengal 743166, India"
GG,GANDHIGRAM,WR,"Rasala Marg, Ellis Bridge, Ahmedabad, .."
GGA,GHOGA,ER,"Ghoga, Bihar, India"
GGAR,GANGADHARA,WR,"Surat, Gujarat, India"
GGB,GARHMUKTESAR BR,NR,"Garhmukteshwar Bridge Railway Station,.."
GGC,GANGAPUR CITY,WCR,"Gangapur City Station, Gangapur, Rajas.."
GGD,GULLAGUDA,SCR,"Lalaguda, Malkajgiri, Secunderabad, An.."
GGG,GANGAGARH H,NER,"Sri Ganganagar, Rajasthan, India"
GGGS,GARHA GOODS SHED,SECR,"Jabalpur, Madhya Pradesh, India"
GGH,GHOGARDIHA,ECR,"Ghoghardiha, Bihar, India"
GGJ,GOSHAINGANJ,NR,"Uttar Pradesh, India"
GGKR,GOVINDGARH KHOKHAR,NR,"Punjab 148031, India"
GGLE,GANGATIKURI,ER,"GangatiKuri, West Bengal, India"
GGN,GURGAON,NR,"Kheri, Gurgaon, Haryana, India"
GGNP,GANGANAPALLE,SCR,"Ganganapalle, Andhra Pradesh, India"
GGO,GORAM GHAT,NWR,"Pali, Rajasthan, India"
GGP,GANGNAPUR F,ER,"Gangnapur, Parnadan Wildlife Sanctuary.."
GGR,GANGRAR,NWR,India
GGSY,GANGA SAHAI H,ECR,"Bihar 811311, India"
GGT,GHUNGHUTI,SECR,"Madhya Pradesh, India"
GGTA,GHORAGHATA,SER,"Ghoraghata, West Bengal, India"
GGV,GHORARAS GHONA H,ER,"Ghoraras Ghona, West Bengal, India"
GGVT,GANGAVATHI,SWR,"Gangawati Rural, Karnataka 583227, India"
GGWA,GANGWARA HALT,ER,"Kharbari, Jharkhand 814153, India"
GGY,GAGARIYA,NWR,"Barmer, Rajasthan, India"
GH,GHUGHULI,NER,"Ghughuli, Uttar Pradesh, India"
GHA,GOLEHWALA,NR,"Golewala, Punjab, India"
GHAA,GHAGHRA,SER,
GHAI,GHATIGAON,WCR,"Ghatigaon, Madhya Pradesh, India"
GHB,GAHRI BHAGI,NWR,"Gehri Bhagi, Punjab, India"
GHD,GARWA ROAD,ECR,"Garhwa Road Railway Station, Garwa Roa.."
GHE,GHEVRA,NR,"Ghevra, New Delhi, Delhi, India"
GHG,GHAGGHAR,NR,"Ghaggar, Haryana"
GHGL,GHAGWAL,NR,Ghagwal
GHH,GARHI HARSARU,NR,"Garhi Harsaru, Gurgaon, Haryana, India"
GHJ,GURSAHAIGANJ,NER,"Kannauj, Uttar Pradesh, India"
GHL,GOLHALLI,SWR,"Golhalli Railway Station, Karnataka 56.."
GHLE,GADADHARPUR,ER,"Grand Trunk Rd, West Bengal, India"
GHLU,GHALLU,NR,
GHN,GHORPARAN,ER,"Tola Ghorparan, Bihar, India"
GHNA,GOHANA,NR,"Gohana, Haryana, India"
GHNH,GHANTIKHAL NDPR,ECOR,"Ghantikhal Ndpr Station, Odisha, India"
GHPU,GANDHIPURAM HALT,SCR,"Khammam-Yellandu Rd, Gandhi Nagar, Tel.."
GHQ,GARHWA,ECR,"Garhwa Railway Station, Garhwa, Jharkh.."
GHR,GIDHAUR,ECR,"Gidhaur Railway Station, SH 18, Gidhau.."
GHRI,GHORI H,NR,Ghori
GHS,GURU HARSAHAI,NR,"Guru Har Sahai, Punjab, India"
GHSR,GHASARA H,NCR,"Agasara Beedi, Chamrajpura, Mysuru, Ka.."
GHT,GHAGHARA GHAT,NER,"Uttar Pradesh, India"
GHUM,GHUM,NFR,"GHUM, Sukhia Pokhri Rd, Ghoom, Darjeel.."
GHX,GARHARA,ECR,"Simariya, Bihar, India"
GHY,GUWAHATI,NFR,"Guwahati Railway Station, Paltan Bazaa.."
GI,GUDUVANCHERI,SR,"Guduvancheri, Tamil Nadu, India"
GIA,GARIA F,ER,"Garia, Kolkata, West Bengal, India"
GIBP,GHOGI BARIARPUR,ER,"Kalisthan, Bariarpur, Bihar 811309, In.."
